Timestamp,EventID,User,ClientIP,Status
2025-01-07 07:05:17,4624,JaneSmith,192.168.1.226,Success
2025-01-07 11:13:17,4624,JohnDoe,192.168.1.159,Success
2025-01-07 08:18:17,4624,GuestUser,192.168.1.189,Success
2025-01-07 01:12:17,4624,JaneSmith,192.168.1.228,Success
2025-01-07 18:28:17,4624,Administrator,192.168.1.120,Success
2025-01-06 23:52:17,4624,Administrator,192.168.1.175,Success
2025-01-07 02:22:17,4625,Administrator,192.168.1.9,Failed
2025-01-07 12:48:17,4624,GuestUser,192.168.1.123,Success
2025-01-07 22:12:17,4624,JohnDoe,192.168.1.124,Success
2025-01-07 03:26:17,4625,Administrator,192.168.1.206,Failed
2025-01-07 15:26:17,4624,JohnDoe,192.168.1.44,Success
2025-01-07 03:07:17,4624,Administrator,192.168.1.18,Success
2025-01-07 05:53:17,4625,JaneSmith,192.168.1.1,Failed
2025-01-07 18:26:17,4625,GuestUser,192.168.1.171,Failed
2025-01-07 22:45:17,4624,JaneSmith,192.168.1.35,Success
2025-01-07 07:23:17,4624,JaneSmith,192.168.1.39,Success
2025-01-07 07:01:17,4625,JohnDoe,192.168.1.201,Failed
2025-01-07 03:04:17,4625,GuestUser,192.168.1.171,Failed
2025-01-07 16:32:17,4624,GuestUser,192.168.1.243,Success
2025-01-07 19:57:17,4625,JaneSmith,192.168.1.211,Failed
2025-01-07 23:41:17,4625,JaneSmith,192.168.1.120,Failed
2025-01-07 18:37:17,4625,JohnDoe,192.168.1.81,Failed
2025-01-07 00:53:17,4624,JohnDoe,192.168.1.138,Success
2025-01-07 12:31:17,4624,GuestUser,192.168.1.43,Success
2025-01-07 06:35:17,4624,Administrator,192.168.1.203,Success
2025-01-07 23:28:17,4625,Administrator,192.168.1.179,Failed
2025-01-07 04:51:17,4624,GuestUser,192.168.1.38,Success
2025-01-07 19:23:17,4625,JaneSmith,192.168.1.98,Failed
2025-01-07 17:47:17,4625,GuestUser,192.168.1.201,Failed
2025-01-07 13:32:17,4625,Administrator,192.168.1.251,Failed
2025-01-07 09:52:17,4625,Administrator,192.168.1.126,Failed
2025-01-07 01:22:17,4625,GuestUser,192.168.1.102,Failed
2025-01-07 08:22:17,4625,JaneSmith,192.168.1.157,Failed
2025-01-07 02:30:17,4624,GuestUser,192.168.1.239,Success
2025-01-07 01:05:17,4624,JaneSmith,192.168.1.181,Success
2025-01-07 11:08:17,4624,Administrator,192.168.1.219,Success
2025-01-07 19:50:17,4624,JohnDoe,192.168.1.59,Success
2025-01-07 14:17:17,4624,JohnDoe,192.168.1.162,Success
2025-01-07 14:04:17,4625,JohnDoe,192.168.1.226,Failed
2025-01-07 10:14:17,4624,GuestUser,192.168.1.245,Success
2025-01-07 13:34:17,4624,JohnDoe,192.168.1.248,Success
2025-01-07 06:22:17,4625,GuestUser,192.168.1.2,Failed
2025-01-07 23:11:17,4624,JohnDoe,192.168.1.228,Success
2025-01-07 07:12:17,4624,JaneSmith,192.168.1.122,Success
2025-01-07 07:15:17,4625,Administrator,192.168.1.190,Failed
2025-01-07 15:45:17,4625,GuestUser,192.168.1.185,Failed
2025-01-07 16:00:17,4624,JohnDoe,192.168.1.172,Success
2025-01-07 04:49:17,4625,GuestUser,192.168.1.197,Failed
2025-01-07 12:53:17,4624,JaneSmith,192.168.1.86,Success
2025-01-07 23:26:17,4624,JohnDoe,192.168.1.120,Success
2025-01-07 14:41:17,4624,Administrator,192.168.1.170,Success
2025-01-07 10:52:17,4624,GuestUser,192.168.1.203,Success
2025-01-07 12:05:17,4625,GuestUser,192.168.1.110,Failed
2025-01-07 09:05:17,4625,JohnDoe,192.168.1.16,Failed
2025-01-07 03:48:17,4625,JohnDoe,192.168.1.40,Failed
2025-01-07 14:48:17,4625,JohnDoe,192.168.1.224,Failed
2025-01-07 02:35:17,4625,Administrator,192.168.1.81,Failed
2025-01-07 06:25:17,4624,JaneSmith,192.168.1.113,Success
2025-01-07 14:38:17,4624,JaneSmith,192.168.1.139,Success
2025-01-07 00:49:17,4625,GuestUser,192.168.1.79,Failed
